================================================================
BSFF Bonn Bright Line (G1) | bsff 0.4.0 | statistic=sampen_lower_tail_m2_r015_v1
n_segments=100 n_surrogates=199 alpha=0.05 seed_base=20260623 threshold=0.8
================================================================

Set A
  [A] Z001 ✗ REFUTED     p=0.640 SampEn=2.318 surr=2.300 conv=ok
  [B] O018 ✗ REFUTED     p=0.535 SampEn=2.495 surr=2.490 conv=ok
  [B] O019 ✗ REFUTED     p=0.095 SampEn=2.077 surr=2.139 conv=ok
  [B] O020 ✗ REFUTED     p=0.165 SampEn=2.160 surr=2.208 conv=ok
  [B] O021 ✗ REFUTED     p=0.075 SampEn=2.254 surr=2.321 conv=ok
  [B] O022 ✗ REFUTED     p=0.705 SampEn=2.194 surr=2.166 conv=ok
  [B] O023 ✗ REFUTED     p=0.235 SampEn=2.359 surr=2.400 conv=ok
  [B] O024 ✗ REFUTED     p=0.110 SampEn=2.136 surr=2.198 conv=ok
  [B] O025 ✗ REFUTED     p=0.475 SampEn=2.293 surr=2.298 conv=ok
  [B] O026 ✗ REFUTED     p=0.625 SampEn=2.346 surr=2.329 conv=ok
  [B] O027 ✓ SURVIVED    p=0.020 SampEn=2.029 surr=2.130 conv=ok
  [B] O028 ✗ REFUTED     p=0.340 SampEn=2.387 surr=2.422 conv=ok
  [B] O029 ✗ REFUTED     p=0.530 SampEn=2.333 surr=2.333 conv=ok
  [B] O030 ✗ REFUTED     p=0.650 SampEn=2.357 surr=2.341 conv=ok
  [B] O031 ✗ REFUTED     p=0.685 SampEn=2.390 surr=2.370 conv=ok
  [B] O032 ✓ SURVIVED    p=0.005 SampEn=2.261 surr=2.382 conv=ok
  [B] O033 ✗ REFUTED     p=0.085 SampEn=2.415 surr=2.489 conv=ok
  [B] O034 ✗ REFUTED     p=0.110 SampEn=2.322 surr=2.393 conv=ok
  [B] O035 ✗ REFUTED     p=0.420 SampEn=2.277 surr=2.288 conv=ok
  [B] O036 ✗ REFUTED     p=0.280 SampEn=2.413 surr=2.447 conv=ok
  [B] O037 ✗ REFUTED     p=0.510 SampEn=2.248 surr=2.248 conv=ok
  [B] O038 ✗ REFUTED     p=0.365 SampEn=2.202 surr=2.220 conv=ok
  [B] O039 ✗ REFUTED     p=0.375 SampEn=2.231 surr=2.240 conv=ok
  [B] O040 ✗ REFUTED     p=0.450 SampEn=2.311 surr=2.313 conv=ok
  [B] O041 ✗ REFUTED     p=0.460 SampEn=2.195 surr=2.203 conv=ok
  [B] O042 ✓ SURVIVED    p=0.025 SampEn=2.347 surr=2.444 conv=ok
  [B] O043 ✗ REFUTED     p=0.115 SampEn=2.380 surr=2.447 conv=ok
  [B] O044 ✗ REFUTED     p=0.270 SampEn=2.243 surr=2.295 conv=ok
  [B] O045 ✗ REFUTED     p=0.370 SampEn=2.065 surr=2.079 conv=ok
  [B] O046 ✗ REFUTED     p=0.060 SampEn=2.058 surr=2.159 conv=ok
  [B] O047 ✗ REFUTED     p=0.330 SampEn=2.458 surr=2.487 conv=ok
  [B] O048 ✗ REFUTED     p=0.990 SampEn=2.391 surr=2.272 conv=ok
  [B] O049 ✗ REFUTED     p=0.085 SampEn=2.273 surr=2.346 conv=ok
  [B] O050 ✗ REFUTED     p=0.180 SampEn=2.356 surr=2.409 conv=ok
  [B] O051 ✗ REFUTED     p=0.830 SampEn=2.483 surr=2.428 conv=ok
  [B] O052 ✓ SURVIVED    p=0.010 SampEn=2.261 surr=2.379 conv=ok
  [B] O053 ✗ REFUTED     p=0.100 SampEn=2.037 surr=2.092 conv=ok
  [B] O054 ✗ REFUTED     p=0.450 SampEn=2.100 surr=2.104 conv=ok
  [B] O055 ✗ REFUTED     p=0.670 SampEn=2.442 surr=2.418 conv=ok
  [B] O056 ✗ REFUTED     p=0.225 SampEn=2.089 surr=2.127 conv=ok
  [B] O057 ✗ REFUTED     p=0.600 SampEn=2.366 surr=2.354 conv=ok
  [B] O058 ✗ REFUTED     p=0.850 SampEn=2.555 surr=2.490 conv=ok
  [B] O059 ✗ REFUTED     p=0.115 SampEn=2.335 surr=2.412 conv=ok
  [B] O060 ✓ SURVIVED    p=0.020 SampEn=2.298 surr=2.443 conv=ok
  [B] O061 ✗ REFUTED     p=0.855 SampEn=2.519 surr=2.458 conv=ok
  [B] O062 ✗ REFUTED     p=0.760 SampEn=2.469 surr=2.429 conv=ok
  [B] O063 ✗ REFUTED     p=0.775 SampEn=2.481 surr=2.424 conv=ok
  [B] O064 ✗ REFUTED     p=0.575 SampEn=2.411 surr=2.401 conv=ok
  [B] O065 ✗ REFUTED     p=0.680 SampEn=2.458 surr=2.436 conv=ok
  [B] O066 ✗ REFUTED     p=0.180 SampEn=2.416 surr=2.465 conv=ok
  [B] O067 ✗ REFUTED     p=0.485 SampEn=2.370 surr=2.375 conv=ok
  [B] O068 ✗ REFUTED     p=0.215 SampEn=2.413 surr=2.465 conv=ok
  [B] O069 ✗ REFUTED     p=0.865 SampEn=2.474 surr=2.415 conv=ok
  [B] O070 ✗ REFUTED     p=0.125 SampEn=2.380 surr=2.445 conv=ok
  [B] O071 ✗ REFUTED     p=0.060 SampEn=2.338 surr=2.479 conv=ok
  [B] O072 ✗ REFUTED     p=0.340 SampEn=2.400 surr=2.421 conv=ok
  [B] O073 ✗ REFUTED     p=0.875 SampEn=2.527 surr=2.462 conv=ok
  [B] O074 ✗ REFUTED     p=0.435 SampEn=2.409 surr=2.421 conv=ok
  [B] O075 ✗ REFUTED     p=0.980 SampEn=2.560 surr=2.433 conv=ok
  [B] O076 ✗ REFUTED     p=0.260 SampEn=2.343 surr=2.394 conv=ok
  [B] O077 ✗ REFUTED     p=0.195 SampEn=2.413 surr=2.464 conv=ok
  [B] O078 ✗ REFUTED     p=0.060 SampEn=2.289 surr=2.374 conv=ok
  [B] O079 ✗ REFUTED     p=0.395 SampEn=2.429 surr=2.446 conv=ok
  [B] O080 ✗ REFUTED     p=0.485 SampEn=2.383 surr=2.388 conv=ok
  [B] O081 ✗ REFUTED     p=0.235 SampEn=2.407 surr=2.440 conv=ok
  [B] O082 ✗ REFUTED     p=0.255 SampEn=2.346 surr=2.384 conv=ok
  [B] O083 ✗ REFUTED     p=0.600 SampEn=2.515 surr=2.501 conv=ok
  [B] O084 ✗ REFUTED     p=0.610 SampEn=2.433 surr=2.418 conv=ok
  [B] O085 ✗ REFUTED     p=0.405 SampEn=2.470 surr=2.477 conv=ok
  [B] O086 ✗ REFUTED     p=0.795 SampEn=2.451 surr=2.404 conv=ok
  [B] O087 ✓ SURVIVED    p=0.025 SampEn=2.333 surr=2.455 conv=ok
  [B] O088 ✗ REFUTED     p=0.510 SampEn=2.409 surr=2.409 conv=ok
  [B] O089 ✗ REFUTED     p=0.130 SampEn=2.412 surr=2.475 conv=ok
  [B] O090 ✗ REFUTED     p=0.065 SampEn=2.330 surr=2.408 conv=ok
  [B] O091 ✗ REFUTED     p=0.915 SampEn=2.469 surr=2.394 conv=ok
  [B] O092 ✓ SURVIVED    p=0.020 SampEn=2.281 surr=2.393 conv=ok
  [B] O093 ✗ REFUTED     p=0.300 SampEn=2.390 surr=2.423 conv=ok
  [B] O094 ✗ REFUTED     p=0.060 SampEn=2.084 surr=2.149 conv=ok
  [B] O095 ✓ SURVIVED    p=0.025 SampEn=2.112 surr=2.206 conv=ok
  [B] O096 ✗ REFUTED     p=0.650 SampEn=2.353 surr=2.330 conv=ok
  [B] O097 ✗ REFUTED     p=0.945 SampEn=2.439 surr=2.351 conv=ok
  [B] O098 ✗ REFUTED     p=0.525 SampEn=2.340 surr=2.344 conv=ok
  [B] O099 ✗ REFUTED     p=0.225 SampEn=2.402 surr=2.447 conv=ok
  [B] O100 ✗ REFUTED     p=0.065 SampEn=2.109 surr=2.190 conv=ok

Set E
  [E] S001 ✓ SURVIVED    p=0.005 SampEn=1.446 surr=1.981 conv=ok
  [E] S002 ✓ SURVIVED    p=0.005 SampEn=2.066 surr=2.377 conv=ok
  [E] S003 ✓ SURVIVED    p=0.005 SampEn=1.754 surr=2.272 conv=ok
  [E] S004 ✓ SURVIVED    p=0.005 SampEn=1.608 surr=2.274 conv=ok
  [E] S005 ✓ SURVIVED    p=0.005 SampEn=1.618 surr=2.058 conv=ok
  [E] S006 ✓ SURVIVED    p=0.005 SampEn=1.999 surr=2.199 conv=ok
  [E] S007 ✓ SURVIVED    p=0.005 SampEn=0.515 surr=2.058 conv=ok
  [E] S008 ✓ SURVIVED    p=0.005 SampEn=1.152 surr=1.950 conv=ok
  [E] S009 ✓ SURVIVED    p=0.015 SampEn=1.927 surr=2.043 conv=ok
  [E] S010 ✓ SURVIVED    p=0.005 SampEn=1.697 surr=2.062 conv=ok
  [E] S011 ✓ SURVIVED    p=0.005 SampEn=1.750 surr=2.077 conv=ok
  [E] S012 ✓ SURVIVED    p=0.005 SampEn=1.033 surr=1.709 conv=ok
  [E] S013 ✓ SURVIVED    p=0.005 SampEn=1.385 surr=1.971 conv=ok
  [E] S014 ✓ SURVIVED    p=0.005 SampEn=1.725 surr=2.064 conv=ok
  [E] S015 ✓ SURVIVED    p=0.005 SampEn=0.931 surr=2.016 conv=ok
  [E] S016 ✓ SURVIVED    p=0.005 SampEn=1.067 surr=1.473 conv=ok
  [E] S017 ✓ SURVIVED    p=0.005 SampEn=1.955 surr=2.347 conv=ok
  [E] S018 ✓ SURVIVED    p=0.005 SampEn=1.048 surr=2.105 conv=ok
  [E] S019 ✓ SURVIVED    p=0.005 SampEn=1.489 surr=1.966 conv=ok
  [E] S020 ✓ SURVIVED    p=0.005 SampEn=1.482 surr=2.210 conv=ok
  [E] S021 ✓ SURVIVED    p=0.005 SampEn=1.158 surr=1.867 conv=ok
  [E] S022 ✓ SURVIVED    p=0.005 SampEn=1.150 surr=2.101 conv=ok
  [E] S023 ✓ SURVIVED    p=0.005 SampEn=1.229 surr=2.083 conv=ok
  [E] S024 ✗ REFUTED     p=0.060 SampEn=2.257 surr=2.338 conv=ok
  [E] S025 ✓ SURVIVED    p=0.005 SampEn=0.960 surr=1.978 conv=ok
  [E] S026 ✓ SURVIVED    p=0.005 SampEn=1.416 surr=2.072 conv=ok
  [E] S027 ✓ SURVIVED    p=0.010 SampEn=2.207 surr=2.332 conv=ok
  [E] S028 ✓ SURVIVED    p=0.005 SampEn=1.839 surr=1.998 conv=ok
  [E] S029 ✓ SURVIVED    p=0.005 SampEn=0.950 surr=2.138 conv=ok
  [E] S030 ✓ SURVIVED    p=0.005 SampEn=1.787 surr=2.273 conv=ok
  [E] S031 ✓ SURVIVED    p=0.005 SampEn=1.241 surr=1.774 conv=ok
  [E] S032 ✓ SURVIVED    p=0.005 SampEn=0.941 surr=1.975 conv=ok
  [E] S033 ✓ SURVIVED    p=0.005 SampEn=1.424 surr=1.630 conv=ok
  [E] S034 ✓ SURVIVED    p=0.005 SampEn=2.021 surr=2.265 conv=ok
  [E] S035 ✓ SURVIVED    p=0.005 SampEn=2.285 surr=2.455 conv=ok
  [E] S036 ✓ SURVIVED    p=0.005 SampEn=1.527 surr=2.063 conv=ok
  [E] S037 ✓ SURVIVED    p=0.005 SampEn=1.384 surr=2.001 conv=ok
  [E] S038 ✓ SURVIVED    p=0.005 SampEn=1.205 surr=2.069 conv=ok
  [E] S039 ✓ SURVIVED    p=0.005 SampEn=1.922 surr=2.115 conv=ok
  [E] S040 ✓ SURVIVED    p=0.005 SampEn=0.898 surr=1.929 conv=ok
  [E] S041 ✓ SURVIVED    p=0.005 SampEn=0.985 surr=2.156 conv=ok
  [E] S042 ✓ SURVIVED    p=0.005 SampEn=1.739 surr=2.066 conv=ok
  [E] S043 ✗ REFUTED     p=0.285 SampEn=2.073 surr=2.095 conv=ok
  [E] S044 ✓ SURVIVED    p=0.005 SampEn=1.974 surr=2.115 conv=ok
  [E] S045 ✓ SURVIVED    p=0.005 SampEn=0.824 surr=1.600 conv=ok
  [E] S046 ✓ SURVIVED    p=0.005 SampEn=1.728 surr=1.957 conv=ok
  [E] S047 ✓ SURVIVED    p=0.005 SampEn=1.529 surr=2.027 conv=ok
  [E] S048 ✗ REFUTED     p=0.235 SampEn=1.866 surr=1.894 conv=ok
  [E] S049 ✓ SURVIVED    p=0.005 SampEn=1.784 surr=2.261 conv=ok
  [E] S050 ✓ SURVIVED    p=0.005 SampEn=1.630 surr=2.021 conv=ok
  [E] S051 ✓ SURVIVED    p=0.005 SampEn=1.336 surr=1.959 conv=ok
  [E] S052 ✓ SURVIVED    p=0.005 SampEn=2.093 surr=2.404 conv=ok
  [E] S053 ✓ SURVIVED    p=0.005 SampEn=1.257 surr=2.178 conv=ok
  [E] S054 ✓ SURVIVED    p=0.005 SampEn=1.661 surr=2.073 conv=ok
  [E] S055 ✓ SURVIVED    p=0.005 SampEn=1.874 surr=2.114 conv=ok
  [E] S056 ✓ SURVIVED    p=0.005 SampEn=0.894 surr=1.744 conv=ok
  [E] S057 ✓ SURVIVED    p=0.005 SampEn=1.593 surr=1.925 conv=ok
  [E] S058 ✓ SURVIVED    p=0.005 SampEn=1.742 surr=1.921 conv=ok
  [E] S059 ✓ SURVIVED    p=0.005 SampEn=1.627 surr=2.119 conv=ok
  [E] S060 ✓ SURVIVED    p=0.005 SampEn=1.001 surr=1.662 conv=ok
  [E] S061 ✓ SURVIVED    p=0.005 SampEn=1.540 surr=2.330 conv=ok
  [E] S062 ✓ SURVIVED    p=0.005 SampEn=1.798 surr=2.179 conv=ok
  [E] S063 ✓ SURVIVED    p=0.005 SampEn=1.901 surr=2.169 conv=ok
  [E] S064 ✓ SURVIVED    p=0.005 SampEn=1.830 surr=2.147 conv=ok
  [E] S065 ✓ SURVIVED    p=0.005 SampEn=0.980 surr=1.524 conv=ok
  [E] S066 ✓ SURVIVED    p=0.005 SampEn=1.834 surr=2.173 conv=ok
  [E] S067 ✓ SURVIVED    p=0.005 SampEn=1.817 surr=2.109 conv=ok
  [E] S068 ✓ SURVIVED    p=0.005 SampEn=1.699 surr=2.184 conv=ok
  [E] S069 ✓ SURVIVED    p=0.005 SampEn=1.150 surr=2.230 conv=ok
  [E] S070 ✓ SURVIVED    p=0.010 SampEn=1.874 surr=1.991 conv=ok
  [E] S071 ✓ SURVIVED    p=0.005 SampEn=1.293 surr=2.088 conv=ok
  [E] S072 ✓ SURVIVED    p=0.005 SampEn=1.615 surr=2.128 conv=ok
  [E] S073 ✓ SURVIVED    p=0.005 SampEn=1.752 surr=1.968 conv=ok
  [E] S074 ✓ SURVIVED    p=0.005 SampEn=1.284 surr=2.103 conv=ok
  [E] S075 ✓ SURVIVED    p=0.005 SampEn=1.513 surr=2.086 conv=ok
  [E] S076 ✓ SURVIVED    p=0.005 SampEn=1.597 surr=2.144 conv=ok
  [E] S077 ✓ SURVIVED    p=0.005 SampEn=1.797 surr=2.159 conv=ok
  [E] S078 ✓ SURVIVED    p=0.005 SampEn=1.243 surr=2.195 conv=ok
  [E] S079 ✓ SURVIVED    p=0.005 SampEn=1.335 surr=2.043 conv=ok
  [E] S080 ✓ SURVIVED    p=0.005 SampEn=0.870 surr=2.004 conv=ok
  [E] S081 ✓ SURVIVED    p=0.005 SampEn=1.525 surr=1.980 conv=ok
  [E] S082 ✓ SURVIVED    p=0.005 SampEn=1.550 surr=2.182 conv=ok
  [E] S083 ✓ SURVIVED    p=0.005 SampEn=2.145 surr=2.295 conv=ok
  [E] S084 ✓ SURVIVED    p=0.005 SampEn=0.702 surr=1.419 conv=ok
  [E] S085 ✓ SURVIVED    p=0.005 SampEn=1.697 surr=2.017 conv=ok
  [E] S086 ✓ SURVIVED    p=0.025 SampEn=2.247 surr=2.368 conv=ok
  [E] S087 ✓ SURVIVED    p=0.005 SampEn=1.402 surr=1.603 conv=ok
  [E] S088 ✓ SURVIVED    p=0.005 SampEn=1.647 surr=2.058 conv=ok
  [E] S089 ✓ SURVIVED    p=0.005 SampEn=0.940 surr=2.018 conv=ok
  [E] S090 ✗ REFUTED     p=0.225 SampEn=2.383 surr=2.429 conv=ok
  [E] S091 ✓ SURVIVED    p=0.005 SampEn=1.727 surr=2.274 conv=ok
  [E] S092 ✓ SURVIVED    p=0.005 SampEn=1.936 surr=2.265 conv=ok
  [E] S093 ✓ SURVIVED    p=0.005 SampEn=1.037 surr=1.682 conv=ok
  [E] S094 ✓ SURVIVED    p=0.005 SampEn=1.703 surr=2.026 conv=ok
  [E] S095 ✓ SURVIVED    p=0.005 SampEn=1.745 surr=2.244 conv=ok
  [E] S096 ✓ SURVIVED    p=0.005 SampEn=1.984 surr=2.175 conv=ok
  [E] S097 ✓ SURVIVED    p=0.005 SampEn=0.745 surr=1.998 conv=ok
  [E] S098 ✓ SURVIVED    p=0.005 SampEn=1.643 surr=2.055 conv=ok
  [E] S099 ✓ SURVIVED    p=0.005 SampEn=1.284 surr=1.962 conv=ok
  [E] S100 ✓ SURVIVED    p=0.005 SampEn=2.009 surr=2.223 conv=ok

================================================================
